Pattern,Occurrences,Avg_Next_Close_Change,Bullish_Percentage,Bearish_Percentage,Avg_Immediate_Bullish_Hours,Avg_Immediate_Bearish_Hours,Avg_Long_Term_Bullish_Hours,Avg_Long_Term_Bearish_Hours,Uptrend_Percentage,Downtrend_Percentage,Sideways_Percentage,High_Volume_Percentage,Support_Resistance_Breach_Percentage,Daily_Trend_Alignment_Percentage,Best_Hour_of_Day
CDL2CROWS,3,-0.00017092825146917492,66.66666666666666,33.33333333333333,3.6666666666666665,3.3333333333333335,7.333333333333333,9.333333333333334,0.0,0.0,100.0,100.0,66.66666666666666,0.0,6
CDL3BLACKCROWS,9,-0.006713436904735631,33.33333333333333,55.55555555555556,2.888888888888889,3.4444444444444446,7.888888888888889,6.333333333333333,33.33333333333333,22.22222222222222,44.44444444444444,33.33333333333333,100.0,22.22222222222222,3
CDL3INSIDE,159,-0.0014515806227291396,53.459119496855344,45.28301886792453,3.641509433962264,3.257861635220126,8.50314465408805,8.144654088050315,13.836477987421384,20.125786163522015,66.0377358490566,42.76729559748428,77.35849056603774,30.18867924528302,13
CDL3LINESTRIKE,27,0.0047411507968085085,66.66666666666666,33.33333333333333,3.962962962962963,2.888888888888889,8.407407407407407,8.37037037037037,29.629629629629626,18.51851851851852,51.85185185185185,44.44444444444444,85.18518518518519,40.74074074074074,1
CDL3OUTSIDE,2369,0.00019317724488545054,51.96285352469396,47.48839172646686,3.580835795694386,3.3761080624736177,8.693119459687631,8.181089067116927,4.094554664415365,86.61882650907556,9.286618826509075,41.916420430561416,62.81131279020684,89.65808357956944,16
CDL3WHITESOLDIERS,120,-0.0014882026901108347,46.666666666666664,48.333333333333336,3.625,2.8666666666666667,8.475,6.983333333333333,54.166666666666664,8.333333333333332,37.5,57.49999999999999,100.0,60.83333333333333,7
CDLADVANCEBLOCK,217,-0.000304005064124796,42.857142857142854,50.69124423963134,3.4700460829493087,3.0276497695852536,8.732718894009217,6.889400921658986,46.54377880184332,13.36405529953917,40.09216589861751,46.08294930875576,70.50691244239631,57.14285714285714,7
CDLBELTHOLD,5532,0.0006050212989828145,45.62545191612436,36.56905278380332,2.989334779464931,2.6751626898047722,7.128344179320318,6.451373825018076,23.770788141720896,15.455531453362257,60.77368040491685,41.54013015184382,66.61243673174259,33.6587129428778,8
CDLCLOSINGMARUBOZU,5757,0.0006767534522799064,44.50234497133924,36.546812575994444,2.957095709570957,2.6227201667535174,7.049678652075734,6.325864165363905,23.814486711829076,13.6529442417926,62.53256904637831,39.18707660239708,69.74118464478026,32.48219558797985,8
CDLCOUNTERATTACK,8,0.002286255825080616,75.0,25.0,4.0,2.5,8.125,6.75,12.5,0.0,87.5,50.0,0.0,12.5,22
CDLDARKCLOUDCOVER,15,0.0057233915295820635,53.333333333333336,40.0,3.3333333333333335,2.8666666666666667,8.2,6.733333333333333,26.666666666666668,20.0,53.333333333333336,66.66666666666666,0.0,46.666666666666664,0
CDLDOJI,7538,-6.35651043615042e-05,31.02945078270098,32.51525603608384,2.38710533297957,2.2166357123905547,6.010082249933669,5.442823029981428,18.002122578933406,17.524542318917486,64.47333510214911,27.819050145927303,7.495356858583178,29.58344388431945,16
CDLDOJISTAR,204,0.0007686316542760505,48.03921568627451,46.07843137254902,3.4362745098039214,3.264705882352941,8.205882352941176,8.0,24.509803921568626,21.568627450980394,53.92156862745098,34.31372549019608,28.921568627450984,43.627450980392155,22
CDLDRAGONFLYDOJI,1451,-0.001244367853983695,39.14541695382495,50.44796691936595,3.275671950379049,3.085458304617505,8.152308752584425,7.309441764300482,22.467263955892488,11.026878015161957,66.50585802894555,21.157822191592004,14.886285320468643,29.703652653342523,16
CDLENGULFING,5429,0.0004952867315137869,51.37226008473015,48.111991158592744,3.594400442070363,3.3560508380917295,8.673052127463622,8.190642843986002,3.9970528642475593,86.48001473567876,9.522932400073678,36.13925216430282,55.019340578375385,89.31663289740284,20
CDLEVENINGDOJISTAR,16,0.008637482071684112,68.75,31.25,3.8125,3.0,8.375,7.375,12.5,25.0,62.5,37.5,68.75,37.5,6
CDLEVENINGSTAR,33,0.006601196399295078,69.6969696969697,30.303030303030305,3.757575757575758,3.121212121212121,8.393939393939394,7.848484848484849,27.27272727272727,15.151515151515152,57.57575757575758,54.54545454545454,75.75757575757575,42.42424242424242,6
